,train,val,test
0,748849_7306 20 - 3,C3L-06162-22,C3N-01534-23
1,C3N-02334-21,607460_936_20_5,607460_936_20_1
2,741541_9375 20,C3L-06162-21,627427_5278 20_2 - 2020-07-25 19.08.45
3,C3L-04492-25,C3L-02630-23,C3L-05505-21
4,C3L-04492-23,C3L-06162-27,607460_936_20_7
5,524564_8797 20_9,742405_1629 20_18,373805_6069 20 - 2020-07-25 19.00.12
6,C3N-00843-23,737695_588 20_5,C3L-05023-23
7,667098_8551 20,4567206215_1290_20_4,732812_LP_3_587 20_13 
8,C3L-00567-23,751380_7495 20,TCGA-DX-AB2F-01Z-00-DX1.2F9C07B1-77D6-466B-B09E-5FCD01458777
9,380574_1357_20_4,4567206215_1290_20_3,TCGA-DX-A2IZ-01Z-00-DX1.21447C40-8521-4E40-90C6-D1A937B64190
10,736259_0604 20_LP_1_9 ,748804_6555 20,TCGA-DX-AB37-01Z-00-DX2.47D61CC1-F1E9-4423-9F64-6BAE8EC6735A
11,C3N-00171-21,TCGA-DX-A7EI-01Z-00-DX1.75E3E0DF-9291-4830-A926-EB1EA7327916,TCGA-3R-A8YX-01Z-00-DX1.C340AFDA-E53B-4EA5-BA65-2F2F6AAA3B21
12,736259_0604 20_LP_1_6 ,TCGA-WK-A8XO-01Z-00-DX3.6E73564F-9C51-462F-98B9-5F9693AB783E,TCGA-DX-A3LS-01Z-00-DX1.32E89F90-9C89-4EBE-9AD3-DF1D2457F6C8
13,C3L-03641-22,742405_1629 20_13,742405_1629_20_1
14,736259_0604 20_LP_1_3 ,TCGA-DX-A3LT-01Z-00-DX1.D4A948E5-6BDC-458B-BB69-ABE5742F148D,C3L-05852-21
15,C3L-04492-22,742405_1629 20_12,737695_588 20_6
16,380574_1357_20_8,,741797_4182 20 - 2020-12-01.12
17,607460_936_20_2,,745521_3960_20_6
18,C3L-04492-21,,TCGA-DX-A23U-01Z-00-DX1.39EF5662-E7E5-4D5C-BB70-9AA00B762AC5
19,C3N-00171-24,,745521_3960_20_8
20,C3L-05505-22,,
21,C3N-03489-21,,
22,380574_1357_20_5,,
23,C3L-00567-22,,
24,736259_0604 20_LP_1_4 ,,
25,380574_1357_20_12,,
26,C3N-00843-21,,
27,551466_8618 20 - 2020-12-11.03,,
28,C3N-00171-23,,
29,C3N-02334-22,,
30,736259_0604 20_LP_1_11 ,,
31,C3L-06162-24,,
32,C3L-00564-21,,
33,380574_1357_20_2,,
34,380574_1357_20_1,,
35,750803_8445 20,,
36,736259_0604 20_LP_1_2 ,,
37,C3L-01914-21,,
38,C3L-00564-22,,
39,736259_0604 20_LP_1_1 ,,
40,C3L-02630-25,,
41,C3N-02064-23,,
42,607460_936_20_4,,
43,607460_936_20_6,,
44,C3N-00843-22,,
45,C3L-04492-24,,
46,C3L-03641-23,,
47,703664_8415 20 - 2020-12-11.52,,
48,380574_1357_20_3,,
49,C3L-01883-22,,
50,C3N-03489-23,,
51,C3N-01534-21,,
52,380574_1357_20_6,,
53,736259_0604 20_LP_1_7 ,,
54,C3N-02334-23,,
55,C3N-03489-22,,
56,C3L-03641-21,,
57,C3N-03214-22,,
58,C3L-01883-23,,
59,C3N-02064-21,,
60,C3N-01534-22,,
61,380574_1357_20_16,,
62,380574_1357_20_11,,
63,380574_1357_20_10,,
64,380574_1357_20_17,,
65,C3L-02630-21,,
66,703664_8415 20_2 - 2020-12-11.57,,
67,736259_0604 20_LP_1_8 ,,
68,736259_0604 20_LP_1_12 ,,
69,736259_0604 20_LP_1_13 ,,
70,C3L-02852-21,,
71,607460_936_20_3,,
72,C3L-00564-23,,
73,380574_1357_20_9,,
74,380574_1357_20_15,,
75,C3N-00171-22,,
76,736259_0604 20_LP_1_5 ,,
77,C3N-02064-22,,
78,380574_1357_20_14,,
79,736259_0604 20_LP_1_10 ,,
80,C3L-06162-23,,
81,C3L-02851-21,,
82,524564_8797 20_3,,
83,C3L-03166-21,,
84,736259_0604 20_LP_1_14 ,,
85,C3L-02630-24,,
86,627427_5278 20 - 2020-07-25 19.05.08,,
87,C3L-02630-22,,
88,380574_1357_20_7,,
89,C3L-00567-21,,
90,C3L-01914-22,,
91,C3L-01883-21,,
92,C3N-03214-21,,
93,746726_6799 20 ,,
94,TCGA-DX-A7ES-01Z-00-DX2.9032C642-D318-433A-8846-B13596413B59,,
95,TCGA-3B-A9HI-01Z-00-DX1.FF553011-934A-4E3E-AA53-B87FC307E095,,
96,TCGA-DX-A240-01Z-00-DX1.84CA11FF-F82D-4D71-8C29-33DB35CCB680,,
97,732812_LP_3_587 20_6 ,,
98,745521_3960_20_5,,
99,TCGA-DX-A1L1-01Z-00-DX1.AF505C16-DC64-4346-A1DF-595A43848832,,
100,TCGA-Z4-A9VC-01Z-00-DX1.42D1CACE-2FFB-4CE4-B8D6-8C0D5BC3B3F2,,
101,742405_1629 20_15,,
102,745521_3960_20_11,,
