,train,val,test
0,748849_7306 20 - 3,C3L-02630-24,C3L-00564-23
1,C3L-06162-21,C3N-02334-22,380574_1357_20_7
2,C3N-02334-21,607460_936_20_3,C3N-02334-23
3,607460_936_20_5,TCGA-DX-A3LW-01Z-00-DX1.0C50FA3C-7A1E-4D34-BC48-B134C6220356,737695_588 20
4,741541_9375 20,TCGA-DX-AB37-01Z-00-DX1.B778136D-9699-48FA-91F2-16BD16569571,TCGA-DX-A48N-01Z-00-DX1.BFC9AF5D-3E7E-431E-B6CC-99F98FB4873A
5,C3L-04492-25,TCGA-DX-A3LU-01Z-00-DX1.DFE76532-13E0-4359-BFFD-D3846A326254,737695_588 20_8
6,C3L-04492-23,745521_3960_20_9,TCGA-DX-AB2F-01Z-00-DX3.E6CC5C3A-C439-48F9-AC5F-F18469220D57
7,524564_8797 20_9,742405_1629 20_7,TCGA-DX-AB3A-01Z-00-DX1.1AD7742A-DFB9-4898-8598-2A99B03C4A7A
8,C3N-00843-23,742405_1629 20_14,737695_588 20_6
9,667098_8551 20,TCGA-DX-A1L1-01Z-00-DX1.AF505C16-DC64-4346-A1DF-595A43848832,TCGA-DX-A6BE-01Z-00-DX1.67FF80A5-340F-4709-8976-A2A1FCF16BA9
10,C3L-00567-23,,
11,380574_1357_20_4,,
12,607460_936_20_7,,
13,736259_0604 20_LP_1_9 ,,
14,C3N-00171-21,,
15,736259_0604 20_LP_1_6 ,,
16,C3L-03641-22,,
17,736259_0604 20_LP_1_3 ,,
18,C3L-04492-22,,
19,380574_1357_20_8,,
20,607460_936_20_2,,
21,C3L-04492-21,,
22,C3N-00171-24,,
23,C3L-05505-22,,
24,C3N-03489-21,,
25,380574_1357_20_5,,
26,C3L-00567-22,,
27,736259_0604 20_LP_1_4 ,,
28,380574_1357_20_12,,
29,C3L-06162-27,,
30,C3N-00843-21,,
31,551466_8618 20 - 2020-12-11.03,,
32,C3N-00171-23,,
33,607460_936_20_1,,
34,C3L-02630-23,,
35,C3L-06162-22,,
36,736259_0604 20_LP_1_11 ,,
37,C3L-06162-24,,
38,C3L-00564-21,,
39,380574_1357_20_2,,
40,380574_1357_20_1,,
41,750803_8445 20,,
42,736259_0604 20_LP_1_2 ,,
43,C3L-05505-21,,
44,C3L-01914-21,,
45,C3L-00564-22,,
46,736259_0604 20_LP_1_1 ,,
47,C3L-02630-25,,
48,C3N-02064-23,,
49,607460_936_20_4,,
50,607460_936_20_6,,
51,C3N-00843-22,,
52,C3L-04492-24,,
53,C3L-03641-23,,
54,703664_8415 20 - 2020-12-11.52,,
55,380574_1357_20_3,,
56,C3L-01883-22,,
57,C3N-03489-23,,
58,C3N-01534-21,,
59,380574_1357_20_6,,
60,736259_0604 20_LP_1_7 ,,
61,C3N-03489-22,,
62,C3L-03641-21,,
63,C3N-03214-22,,
64,C3N-01534-23,,
65,C3L-01883-23,,
66,C3N-02064-21,,
67,C3N-01534-22,,
68,380574_1357_20_16,,
69,380574_1357_20_11,,
70,380574_1357_20_10,,
71,380574_1357_20_17,,
72,C3L-02630-21,,
73,703664_8415 20_2 - 2020-12-11.57,,
74,736259_0604 20_LP_1_8 ,,
75,736259_0604 20_LP_1_12 ,,
76,736259_0604 20_LP_1_13 ,,
77,627427_5278 20_2 - 2020-07-25 19.08.45,,
78,C3L-02852-21,,
79,380574_1357_20_9,,
80,380574_1357_20_15,,
81,373805_6069 20 - 2020-07-25 19.00.12,,
82,C3N-00171-22,,
83,736259_0604 20_LP_1_5 ,,
84,C3N-02064-22,,
85,380574_1357_20_14,,
86,736259_0604 20_LP_1_10 ,,
87,C3L-06162-23,,
88,C3L-02851-21,,
89,524564_8797 20_3,,
90,C3L-03166-21,,
91,736259_0604 20_LP_1_14 ,,
92,627427_5278 20 - 2020-07-25 19.05.08,,
93,C3L-02630-22,,
94,C3L-00567-21,,
95,C3L-01914-22,,
96,C3L-01883-21,,
97,C3N-03214-21,,
98,746726_6799 20 ,,
99,TCGA-DX-A7ES-01Z-00-DX2.9032C642-D318-433A-8846-B13596413B59,,
100,TCGA-3B-A9HI-01Z-00-DX1.FF553011-934A-4E3E-AA53-B87FC307E095,,
101,TCGA-DX-A240-01Z-00-DX1.84CA11FF-F82D-4D71-8C29-33DB35CCB680,,
102,732812_LP_3_587 20_6 ,,
103,TCGA-DX-A3LS-01Z-00-DX1.32E89F90-9C89-4EBE-9AD3-DF1D2457F6C8,,
104,745521_3960_20_5,,
105,TCGA-Z4-A9VC-01Z-00-DX1.42D1CACE-2FFB-4CE4-B8D6-8C0D5BC3B3F2,,
106,TCGA-WK-A8XO-01Z-00-DX3.6E73564F-9C51-462F-98B9-5F9693AB783E,,
107,742405_1629 20_15,,
108,745521_3960_20_11,,
109,TCGA-WK-A8XO-01Z-00-DX2.1B458FAA-9937-4A15-A3E0-4237B75DA1A0,,
110,TCGA-DX-AB36-01Z-00-DX2.B0293A74-52AC-490B-A5F0-CA96F4B36252,,
111,TCGA-DX-A6BK-01Z-00-DX2.561B10AB-522B-4B2F-BE4B-21AB7A08E7E8,,
112,TCGA-WK-A8XQ-01Z-00-DX2.64263F00-71B0-4099-BF60-DFB5391E05EA,,
113,737695_588 20_4,,
114,TCGA-DX-A7EI-01Z-00-DX1.75E3E0DF-9291-4830-A926-EB1EA7327916,,
115,4567206215_1290_20_3,,
116,TCGA-DX-AB2F-01Z-00-DX1.2F9C07B1-77D6-466B-B09E-5FCD01458777,,
117,TCGA-DX-AB3A-01Z-00-DX2.27E3160A-4CA5-4E3B-AF99-157013591E12,,
118,TCGA-DX-A2J1-01Z-00-DX1.51522171-EBCA-4A16-8F39-E794211F8B94,,
119,TCGA-DX-AB37-01Z-00-DX3.AE53E163-C3F2-4BF1-8A2E-232842C590F1,,
120,746726_6799 20 - 2020-07-29 23.11.03,,
121,748804_6555 20 -2,,
122,TCGA-DX-AB35-01Z-00-DX3.B35C6035-4ED2-4E2F-A915-C59E1ACDE65D,,
123,C3L-05023-22,,
124,TCGA-IF-A3RQ-01Z-00-DX1.674A974D-E775-48C1-B4F1-4671C4D1EF33,,
125,745521_3960_20_12,,
126,TCGA-DX-A3LT-01Z-00-DX1.D4A948E5-6BDC-458B-BB69-ABE5742F148D,,
127,TCGA-DX-AB35-01Z-00-DX2.2B402924-E169-4EB3-AF9F-4A6843547192,,
128,TCGA-FX-A3NK-01Z-00-DX1.66390C76-EBAB-4904-8BA7-A0E66228B8A5,,
129,TCGA-DX-A6BH-01Z-00-DX1.354D106A-0029-40F6-B11E-1BBD0389A525,,
130,C3L-05023-23,,
131,TCGA-DX-A7EI-01Z-00-DX3.D0068AA2-E10C-4C92-8836-F84F395AD744,,
132,TCGA-SG-A6Z7-01Z-00-DX1.1C500200-81CA-46DB-8D97-EC94247B8D83,,
133,TCGA-DX-A23V-01Z-00-DX1.E7E5DAB8-EB00-44A2-91F1-2C660F624D1E,,
134,TCGA-DX-A2J0-01Z-00-DX1.D967A85F-4E39-4D18-A548-0767A7A761CE,,
135,751380_7495 20,,
136,732812_LP_3_587 20_12 ,,
137,TCGA-DX-AB36-01Z-00-DX1.83E57948-B439-45B6-ACBF-1CBBCF79EE88,,
138,TCGA-DX-A7EI-01Z-00-DX2.7CAF2DEA-34A2-4841-94BE-C4B814D479CD,,
139,TCGA-DX-AB2F-01Z-00-DX2.860CF225-64CE-42E2-A6FF-E405E44D0439,,
140,TCGA-DX-A6BE-01Z-00-DX2.A799F2A2-3BB8-4CD2-9150-43B6B35474E4,,
141,742405_1629_20_1,,
142,TCGA-DX-A23Z-01Z-00-DX1.BA0DD1F3-2339-499D-B686-5531CA73E462,,
143,TCGA-DX-AB2G-01Z-00-DX3.F55EEE13-A4AA-4E04-9F7F-09922ABEECF1,,
144,737695_588 20_1,,
145,742405_1629 20_3,,
146,742405_1629 20_12,,
147,745521_3960_20_4,,
148,732812_LP_3_587 20_1 ,,
149,TCGA-QQ-A5VA-01Z-00-DX1.64E25D9A-BB2A-44DA-9C58-08E1FCA8F29F,,
150,C3L-05507-28,,
151,737695_588 20_3,,
152,732812_LP_3_587 20_13 ,,
153,745521_3960_20_6,,
