,train,val,test
0,748849_7306 20 - 3,627427_5278 20_2 - 2020-07-25 19.08.45,C3N-00843-22
1,C3L-06162-21,524564_8797 20_3,C3L-03641-23
2,C3N-02334-21,551466_8618 20 - 2020-12-11.03,524564_8797 20_9
3,607460_936_20_5,C3N-00171-21,703664_8415 20_2 - 2020-12-11.57
4,741541_9375 20,C3L-02630-24,C3L-00567-22
5,C3L-04492-25,TCGA-3B-A9HL-01Z-00-DX1.E7B32155-5633-4623-A8F9-D51F0EB4E8EA,607460_936_20_4
6,C3L-04492-23,TCGA-DX-A1L2-01Z-00-DX1.CEAD4A86-AFFE-4A9B-A7B8-07791459091B,TCGA-3B-A9HJ-01Z-00-DX1.69A75A26-AE30-45BC-AD0E-35CEB9377DD0
7,C3N-00843-23,TCGA-DX-A3LS-01Z-00-DX1.32E89F90-9C89-4EBE-9AD3-DF1D2457F6C8,TCGA-DX-A6BH-01Z-00-DX2.8BF0E385-0450-4D17-B5EC-EE499DA5499C
8,667098_8551 20,TCGA-DX-AB35-01Z-00-DX1.7EC65E28-9582-463F-AD56-985E0826E2CE,745521_3960_20_1
9,C3L-00567-23,TCGA-SG-A6Z7-01Z-00-DX1.1C500200-81CA-46DB-8D97-EC94247B8D83,TCGA-WK-A8XO-01Z-00-DX2.1B458FAA-9937-4A15-A3E0-4237B75DA1A0
10,380574_1357_20_4,748804_6555 20,732812_LP_3_587 20_14 
11,607460_936_20_7,4567206215_1290_20_2,C3L-05023-22
12,C3L-03641-22,TCGA-DX-AB2F-01Z-00-DX3.E6CC5C3A-C439-48F9-AC5F-F18469220D57,C3L-05023-23
13,C3L-04492-22,C3L-05507-28,745521_3960_20_8
14,380574_1357_20_8,TCGA-DX-AB2F-01Z-00-DX2.860CF225-64CE-42E2-A6FF-E405E44D0439,TCGA-DX-A23V-01Z-00-DX1.E7E5DAB8-EB00-44A2-91F1-2C660F624D1E
15,607460_936_20_2,745521_3960_20_12,TCGA-DX-A1L3-01Z-00-DX1.E8818734-E8DA-40F7-9E14-5806D4691E96
